torch.arange arange /home/sjy/code/pytorch/aten/src/ATen/native/TensorFactories.cpp
torch.arccos arccos /home/sjy/code/pytorch/aten/src/ATen/native/UnaryOps.cpp
torch.arccosh arccosh /home/sjy/code/pytorch/aten/src/ATen/native/UnaryOps.cpp
torch.arcsin arcsin /home/sjy/code/pytorch/aten/src/ATen/native/UnaryOps.cpp
torch.arcsinh arcsinh /home/sjy/code/pytorch/aten/src/ATen/native/UnaryOps.cpp
torch.arctan arctan /home/sjy/code/pytorch/aten/src/ATen/native/UnaryOps.cpp
torch.arctan2 binary /home/sjy/code/pytorch/aten/src/ATen/native/BinaryOps.cpp
torch.arctanh arctanh /home/sjy/code/pytorch/aten/src/ATen/native/UnaryOps.cpp
torch.argmax argmax /home/sjy/code/pytorch/aten/src/ATen/native/TensorCompare.cpp
torch.argmin argmin /home/sjy/code/pytorch/aten/src/ATen/native/TensorCompare.cpp
torch.argsort argsort /home/sjy/code/pytorch/aten/src/ATen/native/Sorting.cpp
torch.argwhere argwhere /home/sjy/code/pytorch/aten/src/ATen/native/TensorAdvancedIndexing.cpp
torch.atleast_1d atleast_1d /home/sjy/code/pytorch/aten/src/ATen/native/TensorTransformations.cpp
torch.atleast_2d atleast_2d /home/sjy/code/pytorch/aten/src/ATen/native/TensorTransformations.cpp
torch.atleast_3d atleast_3d /home/sjy/code/pytorch/aten/src/ATen/native/TensorTransformations.cpp
torch.avg_pool1d avg_pool1d /home/sjy/code/pytorch/aten/src/ATen/native/Pooling.cpp
torch.bartlett_window bartlett_window /home/sjy/code/pytorch/aten/src/ATen/native/TensorFactories.cpp
torch.batch_norm batch_norm /home/sjy/code/pytorch/aten/src/ATen/native/Normalization.cpp
torch.bernoulli bernoulli /home/sjy/code/pytorch/aten/src/ATen/native/Distributions.cpp
torch.bilinear bilinear /home/sjy/code/pytorch/aten/src/ATen/native/Linear.cpp
torch.binary_cross_entropy_with_logits binary_cross_entropy_with_logits /home/sjy/code/pytorch/aten/src/ATen/native/Loss.cpp
torch.bitwise_and binary /home/sjy/code/pytorch/aten/src/ATen/native/BinaryOps.cpp
torch.bitwise_left_shift binary /home/sjy/code/pytorch/aten/src/ATen/native/BinaryOps.cpp
torch.bitwise_or binary /home/sjy/code/pytorch/aten/src/ATen/native/BinaryOps.cpp
torch.bitwise_right_shift binary /home/sjy/code/pytorch/aten/src/ATen/native/BinaryOps.cpp
torch.bitwise_xor binary /home/sjy/code/pytorch/aten/src/ATen/native/BinaryOps.cpp
torch.blackman_window blackman_window /home/sjy/code/pytorch/aten/src/ATen/native/TensorFactories.cpp
torch.block_diag block_diag /home/sjy/code/pytorch/aten/src/ATen/native/TensorShape.cpp
torch.broadcast_tensors broadcast_tensors /home/sjy/code/pytorch/aten/src/ATen/native/TensorShape.cpp
torch.broadcast_to broadcast_to /home/sjy/code/pytorch/aten/src/ATen/native/TensorShape.cpp
torch.can_cast can_cast /home/sjy/code/pytorch/aten/src/ATen/native/TypeProperties.cpp
torch.cartesian_prod cartesian_prod /home/sjy/code/pytorch/aten/src/ATen/native/Itertools.cpp
torch.cat cat /home/sjy/code/pytorch/aten/src/ATen/native/TensorShape.cpp
torch.cdist cdist /home/sjy/code/pytorch/aten/src/ATen/native/Distance.cpp
