api_name op_name file_path
tf.raw_ops.BandedTriangularSolve BandedTriangularSolveOpCpu /home/sjy/code/tensorflow/tensorflow/core/kernels/linalg/banded_triangular_solve_op.cc
tf.raw_ops.Barrier BarrierOp /home/sjy/code/tensorflow/tensorflow/core/kernels/barrier_ops.cc
tf.raw_ops.BarrierClose BarrierCloseOp /home/sjy/code/tensorflow/tensorflow/core/kernels/barrier_ops.cc
tf.raw_ops.BarrierIncompleteSize BarrierIncompleteSizeOp /home/sjy/code/tensorflow/tensorflow/core/kernels/barrier_ops.cc
tf.raw_ops.BarrierInsertMany InsertManyOp /home/sjy/code/tensorflow/tensorflow/core/kernels/barrier_ops.cc
tf.raw_ops.BarrierReadySize BarrierReadySizeOp /home/sjy/code/tensorflow/tensorflow/core/kernels/barrier_ops.cc
tf.raw_ops.BarrierTakeMany TakeManyOp /home/sjy/code/tensorflow/tensorflow/core/kernels/barrier_ops.cc
tf.raw_ops.BatchMatMul BatchMatMulOp /home/sjy/code/tensorflow/tensorflow/core/kernels/matmul_op_impl.cc
tf.raw_ops.BatchMatMulV2 BatchMatMulV2Op /home/sjy/code/tensorflow/tensorflow/core/kernels/matmul_op_impl.cc
tf.raw_ops.BatchMatMulV3 BatchMatMulV2Op /home/sjy/code/tensorflow/tensorflow/core/kernels/matmul_op_impl.cc
tf.raw_ops.BatchToSpace BatchToSpaceOp /home/sjy/code/tensorflow/tensorflow/core/kernels/batchtospace_op.cc
tf.raw_ops.BatchToSpaceND BatchToSpaceNDOp /home/sjy/code/tensorflow/tensorflow/core/kernels/batchtospace_op.cc
tf.raw_ops.BesselI0 UnaryOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cwise_ops_common.cc
tf.raw_ops.BesselI0e UnaryOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cwise_ops_common.cc
tf.raw_ops.BesselI1 UnaryOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cwise_ops_common.cc
tf.raw_ops.BesselI1e UnaryOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cwise_ops_common.cc
tf.raw_ops.BesselJ0 UnaryOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cwise_ops_common.cc
tf.raw_ops.BesselJ1 UnaryOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cwise_ops_common.cc
tf.raw_ops.BesselK0 UnaryOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cwise_ops_common.cc
tf.raw_ops.BesselK0e UnaryOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cwise_ops_common.cc
tf.raw_ops.BesselK1 UnaryOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cwise_ops_common.cc
tf.raw_ops.BesselK1e UnaryOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cwise_ops_common.cc
tf.raw_ops.BesselY0 UnaryOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cwise_ops_common.cc
tf.raw_ops.BesselY1 UnaryOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cwise_ops_common.cc
tf.raw_ops.Betainc BetaincOp /home/sjy/code/tensorflow/tensorflow/core/kernels/betainc_op.cc
tf.raw_ops.BiasAdd BiasOp /home/sjy/code/tensorflow/tensorflow/core/kernels/bias_op.cc
tf.raw_ops.BiasAddGrad BiasGradOp /home/sjy/code/tensorflow/tensorflow/core/kernels/bias_op.cc
tf.raw_ops.BiasAddV1 BiasOp /home/sjy/code/tensorflow/tensorflow/core/kernels/bias_op.cc
tf.raw_ops.Bincount BincountOp /home/sjy/code/tensorflow/tensorflow/core/kernels/bincount_op.cc
tf.raw_ops.BitwiseAnd BinaryOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cwise_ops_common.cc
tf.raw_ops.BitwiseOr BinaryOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cwise_ops_common.cc
tf.raw_ops.BitwiseXor BinaryOp /home/sjy/code/tensorflow/tensorflow/core/kernels/cwise_ops_common.cc
tf.raw_ops.BlockLSTM BlockLSTMOp /home/sjy/code/tensorflow/tensorflow/core/kernels/rnn/lstm_ops.cc
